MONORTM RESULTS:
----------------
NWN :     101                                                                                                                   Molecular Optical Depths -->
PROF FREQ(GHz)      BT(K)      TMR(K)  RAD(W/cm2_ster_cm-1)   TRANS     PWV     CLW  TBOUND    EMIS    REFL    ANGLE    TOTAL_OD      H2O         CO2          O3         N2O          CO         CH4          O2          NO         SO2         NO2         NH3        HNO3          OH          HF         HCL         HBR          HI         CLO         OCS        H2CO        HOCL          N2        XSEC_OD
    1    17.688   10.57191  267.96396      2.925762612E-12  0.97057  1.4103  0.0000    2.75    1.00    0.00    0.000  2.9876E-02  1.5705E-02  3.2008E-14  2.2479E-07  1.4226E-08  9.1465E-11  0.0000E+00  1.3989E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.8230E-04  0.0000E+00
    1    17.988   11.09556  268.39956      3.179669391E-12  0.96865  1.4103  0.0000    2.75    1.00    0.00    0.000  3.1857E-02  1.7527E-02  3.3103E-14  2.2100E-07  1.4728E-08  9.4616E-11  0.0000E+00  1.4141E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.8853E-04  0.0000E+00
    1    18.287   11.69980  268.83885      3.470415419E-12  0.96643  1.4103  0.0000    2.75    1.00    0.00    0.000  3.4147E-02  1.9655E-02  3.4216E-14  2.1815E-07  1.5239E-08  9.7822E-11  0.0000E+00  1.4297E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.9487E-04  0.0000E+00
    1    18.587   12.40049  269.27647      3.805769036E-12  0.96386  1.4103  0.0000    2.75    1.00    0.00    0.000  3.6811E-02  2.2151E-02  3.5347E-14  2.1614E-07  1.5760E-08  1.0108E-10  0.0000E+00  1.4458E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.0131E-04  0.0000E+00
    1    18.887   13.21649  269.70534      4.195213129E-12  0.96086  1.4103  0.0000    2.75    1.00    0.00    0.000  3.9923E-02  2.5092E-02  3.6496E-14  2.1493E-07  1.6290E-08  1.0440E-10  0.0000E+00  1.4624E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.0785E-04  0.0000E+00
    1    19.187   14.16972  270.11641      4.650160982E-12  0.95736  1.4103  0.0000    2.75    1.00    0.00    0.000  4.3574E-02  2.8566E-02  3.7665E-14  2.1447E-07  1.6830E-08  1.0777E-10  0.0000E+00  1.4794E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.1450E-04  0.0000E+00
    1    19.487   15.28479  270.49845      5.184020479E-12  0.95326  1.4103  0.0000    2.75    1.00    0.00    0.000  4.7867E-02  3.2676E-02  3.8851E-14  2.1473E-07  1.7380E-08  1.1119E-10  0.0000E+00  1.4969E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.2125E-04  0.0000E+00
    1    19.786   16.58771  270.83798      5.811905741E-12  0.94846  1.4103  0.0000    2.75    1.00    0.00    0.000  5.2912E-02  3.7535E-02  4.0056E-14  2.1569E-07  1.7940E-08  1.1467E-10  0.0000E+00  1.5149E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.2811E-04  0.0000E+00
    1    20.086   18.10291  271.11948      6.549646812E-12  0.94287  1.4103  0.0000    2.75    1.00    0.00    0.000  5.8822E-02  4.3252E-02  4.1279E-14  2.1736E-07  1.8509E-08  1.1821E-10  0.0000E+00  1.5334E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.3508E-04  0.0000E+00
    1    20.386   19.84745  271.32582      7.411545555E-12  0.93643  1.4103  0.0000    2.75    1.00    0.00    0.000  6.5684E-02  4.9917E-02  4.2521E-14  2.1974E-07  1.9089E-08  1.2180E-10  0.0000E+00  1.5525E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.4214E-04  0.0000E+00
    1    20.686   21.82085  271.44027      8.405965514E-12  0.92911  1.4103  0.0000    2.75    1.00    0.00    0.000  7.3526E-02  5.7555E-02  4.3781E-14  2.2285E-07  1.9678E-08  1.2544E-10  0.0000E+00  1.5721E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.4931E-04  0.0000E+00
    1    20.985   23.98962  271.44763      9.528084607E-12  0.92105  1.4103  0.0000    2.75    1.00    0.00    0.000  8.2246E-02  6.6066E-02  4.5059E-14  2.2672E-07  2.0277E-08  1.2914E-10  0.0000E+00  1.5923E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.5659E-04  0.0000E+00
    1    21.285   26.26410  271.34314      1.074831373E-11  0.91255  1.4103  0.0000    2.75    1.00    0.00    0.000  9.1513E-02  7.5118E-02  4.6356E-14  2.3140E-07  2.0887E-08  1.3290E-10  0.0000E+00  1.6131E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.6397E-04  0.0000E+00
    1    21.585   28.47312  271.14560      1.199803629E-11  0.90426  1.4103  0.0000    2.75    1.00    0.00    0.000  1.0064E-01  8.4025E-02  4.7672E-14  2.3695E-07  2.1507E-08  1.3671E-10  0.0000E+00  1.6344E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.7146E-04  0.0000E+00
